transaction_id,date,merchant,amount,category,accounting_code,accounting_type,tax_deductible,department,extraction_confidence
TXN-00028,2024-08-05,United Airlines,850.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.95
TXN-00029,2025-03-29,Time Warner,60.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Finance,0.8999999999999999
TXN-00030,2025-02-08,Hilton Hotels,700.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Sales,0.8999999999999999
TXN-00031,2024-01-13,Herman Miller,1500.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Sales,0.8999999999999999
TXN-00032,2024-05-19,Doordash,100.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Sales,0.95
TXN-00033,2024-10-21,Verizon,350.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Engineering,0.8999999999999999
TXN-00034,2024-02-25,Github,231.0,Software - Development,6360,Operating Expense - Technology,Yes,Marketing,0.8999999999999999
TXN-00035,2024-05-24,Fedex,100.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Sales,0.8999999999999999
TXN-00036,2024-09-13,Datadog,1500.0,Software - Monitoring,6330,Operating Expense - Technology,Yes,Marketing,0.93
TXN-00037,2024-08-30,Deloitte,10000.0,Professional Services,6700,Operating Expense - Services,Yes,Finance,0.95
TXN-00038,2024-04-11,Southwest Airlines,150.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,HR,0.8999999999999999
TXN-00039,2024-11-24,Dell,2500.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Finance,0.8799999999999999
TXN-00040,2024-01-24,Amazon,299.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Engineering,0.8999999999999999
TXN-00041,2024-03-20,Hubspot,200.0,Marketing - Software,6810,Operating Expense - Marketing,Yes,Engineering,0.8999999999999999
TXN-00042,2024-07-31,Comcast,70.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Engineering,0.8999999999999999
TXN-00043,2025-01-01,Verizon,350.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Sales,0.8999999999999999
TXN-00044,2025-02-06,Southwest Airlines,150.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Finance,0.95
TXN-00045,2024-05-24,Delta Airlines,900.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00046,2024-12-24,Google Ads,500.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,HR,0.8999999999999999
TXN-00047,2024-12-09,Time Warner,60.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Finance,0.8999999999999999
TXN-00048,2024-01-24,Mckinsey,60000.0,Professional Services,6700,Operating Expense - Services,Yes,HR,0.8999999999999999
TXN-00049,2024-04-08,Starbucks,15.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Marketing,0.8999999999999999
TXN-00050,2024-03-18,Facebook Ads,4000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Marketing,0.8999999999999999
TXN-00051,2024-12-22,Ups,50.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Operations,0.95
TXN-00052,2024-05-21,Herman Miller,1200.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Marketing,0.95
TXN-00053,2025-02-23,Apple,799.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Marketing,0.8999999999999999
TXN-00054,2024-02-27,Ikea,1200.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),HR,0.95
TXN-00055,2025-01-30,Delta Airlines,280.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Sales,0.8799999999999999
TXN-00056,2024-09-12,Aws,2341.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Finance,0.8999999999999999
TXN-00057,2024-05-26,Linkedin Ads,1000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,HR,0.8999999999999999
TXN-00058,2024-05-17,Southwest Airlines,650.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.8999999999999999
TXN-00059,2024-06-12,Staples,150.0,Office Supplies,6100,Operating Expense - Office,Yes,Marketing,0.95
TXN-00060,2025-02-15,Slack,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Operations,0.8999999999999999
TXN-00061,2024-03-06,Steelcase,1000.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Finance,0.8999999999999999
TXN-00062,2024-10-28,United Airlines,850.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.95
TXN-00063,2025-03-27,Ikea,300.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),HR,0.8999999999999999
TXN-00064,2024-03-08,Google Cloud,950.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Finance,0.8999999999999999
TXN-00065,2024-08-18,Hilton Hotels,700.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Operations,0.95
TXN-00066,2024-03-31,Dell,500.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Operations,0.95
TXN-00067,2024-09-09,Deloitte,10000.0,Professional Services,6700,Operating Expense - Services,Yes,Finance,0.95
TXN-00068,2025-01-22,Verizon,100.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,HR,0.8999999999999999
TXN-00069,2025-01-20,Airbnb,80.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Operations,0.95
TXN-00070,2024-03-11,Steelcase,2500.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Engineering,0.95
TXN-00071,2024-10-04,Xero,99.0,Accounting Software,6720,Operating Expense - Services,Yes,Finance,0.95
TXN-00072,2024-09-16,Google Cloud,950.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Operations,0.8999999999999999
TXN-00073,2024-11-21,United Airlines,250.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00074,2024-07-11,American Airlines,300.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.95
TXN-00075,2024-01-04,Restaurants.Com,80.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Sales,0.8999999999999999
TXN-00076,2024-10-19,Staples,150.0,Office Supplies,6100,Operating Expense - Office,Yes,Marketing,0.8999999999999999
TXN-00077,2025-03-12,Google Ads,5000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Finance,0.8999999999999999
TXN-00078,2025-01-06,Aws,2341.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Sales,0.95
TXN-00079,2025-03-03,Linkedin Ads,2500.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Finance,0.93
TXN-00080,2024-12-09,Github,500.0,Software - Development,6360,Operating Expense - Technology,Yes,Operations,0.8999999999999999
TXN-00081,2024-11-09,Quickbooks,120.0,Accounting Software,6720,Operating Expense - Services,Yes,Engineering,0.8999999999999999
TXN-00082,2024-02-28,Deloitte,25000.0,Professional Services,6700,Operating Expense - Services,Yes,Sales,0.8999999999999999
TXN-00083,2024-02-03,Zoom,599.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Sales,0.95
TXN-00084,2024-05-03,Staples,50.0,Office Supplies,6100,Operating Expense - Office,Yes,Marketing,0.8999999999999999
TXN-00085,2024-09-29,Lyft,12.0,Travel - Ground,6410,Operating Expense - Travel,Yes,Finance,0.95
TXN-00086,2024-07-28,Restaurants.Com,150.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Operations,0.95
TXN-00087,2025-02-06,Uber,15.0,Travel - Ground,6410,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00088,2024-08-29,Mckinsey,6000.0,Professional Services,6700,Operating Expense - Services,Yes,Engineering,0.8999999999999999
TXN-00089,2025-02-09,Airbnb,150.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Marketing,0.95
TXN-00090,2024-11-26,Hilton Hotels,400.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00091,2024-09-18,Restaurants.Com,150.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Finance,0.95
TXN-00092,2024-08-31,Quickbooks,120.0,Accounting Software,6720,Operating Expense - Services,Yes,Sales,0.95
TXN-00093,2024-09-14,Twilio,50.0,Software - Communications,6340,Operating Expense - Technology,Yes,Finance,0.93
TXN-00094,2024-02-18,Google Ads,5000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Engineering,0.8999999999999999
TXN-00095,2024-12-14,Datadog,1500.0,Software - Monitoring,6330,Operating Expense - Technology,Yes,Operations,0.95
TXN-00096,2024-12-21,United Airlines,450.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.8799999999999999
TXN-00097,2024-02-21,Dhl,60.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Sales,0.8999999999999999
TXN-00098,2025-03-21,Hubspot,50.0,Marketing - Software,6810,Operating Expense - Marketing,Yes,HR,0.8999999999999999
TXN-00099,2024-09-18,Office Depot,200.0,Office Supplies,6100,Operating Expense - Office,Yes,Marketing,0.95
TXN-00100,2025-03-06,Delta Airlines,900.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.95
TXN-00101,2024-12-05,Microsoft Azure,1500.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Operations,0.95
TXN-00102,2025-03-09,Lyft,60.0,Travel - Ground,6410,Operating Expense - Travel,Yes,Operations,0.8999999999999999
TXN-00103,2024-07-30,Google Ads,500.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Engineering,0.95
TXN-00104,2024-06-29,Marriott Hotels,800.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Finance,0.95
TXN-00105,2025-01-17,Stripe,2500.0,Software - Payments,6350,Operating Expense - Technology,Yes,Operations,0.95
TXN-00106,2024-09-01,Time Warner,180.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,HR,0.95
TXN-00107,2024-08-03,Quickbooks,300.0,Accounting Software,6720,Operating Expense - Services,Yes,HR,0.95
TXN-00108,2024-02-25,Amazon Business,250.0,Office Supplies,6100,Operating Expense - Office,Yes,Finance,0.8999999999999999
TXN-00109,2024-08-22,Southwest Airlines,650.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Finance,0.8999999999999999
TXN-00110,2024-08-11,Dell,1200.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Finance,0.95
TXN-00111,2024-12-16,Ubereats,100.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Marketing,0.8999999999999999
TXN-00112,2024-07-12,Hubspot,50.0,Marketing - Software,6810,Operating Expense - Marketing,Yes,Marketing,0.8999999999999999
TXN-00113,2025-02-28,Doordash,50.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Operations,0.8999999999999999
TXN-00114,2024-02-09,Microsoft Azure,300.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Operations,0.95
TXN-00115,2024-02-01,Starbucks,5.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Finance,0.95
TXN-00116,2024-05-26,Restaurants.Com,150.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Engineering,0.8999999999999999
TXN-00117,2025-03-28,Herman Miller,3000.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),HR,0.8999999999999999
TXN-00118,2024-12-16,Dell,500.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Marketing,0.8999999999999999
TXN-00119,2024-07-24,Github,231.0,Software - Development,6360,Operating Expense - Technology,Yes,Operations,0.8799999999999999
TXN-00120,2024-11-27,American Airlines,1500.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,HR,0.95
TXN-00121,2024-11-28,Mckinsey,6000.0,Professional Services,6700,Operating Expense - Services,Yes,Sales,0.95
TXN-00122,2024-07-18,Quickbooks,600.0,Accounting Software,6720,Operating Expense - Services,Yes,Finance,0.8999999999999999
TXN-00123,2025-03-11,Marriott Hotels,800.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Marketing,0.8799999999999999
TXN-00124,2024-05-22,American Airlines,950.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Engineering,0.95
TXN-00125,2024-08-26,Linkedin Ads,5000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Marketing,0.95
TXN-00126,2024-08-28,American Airlines,550.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Operations,0.8999999999999999
TXN-00127,2025-02-20,Starbucks,15.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Engineering,0.8999999999999999
TXN-00128,2024-04-06,Grubhub,50.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.95
TXN-00129,2024-07-09,Slack,125.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Sales,0.8999999999999999
TXN-00130,2024-08-22,Staples,500.0,Office Supplies,6100,Operating Expense - Office,Yes,Engineering,0.8999999999999999
TXN-00131,2024-01-20,Airbnb,300.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Marketing,0.8999999999999999
TXN-00132,2024-07-20,Starbucks,5.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.8999999999999999
TXN-00133,2024-04-24,Doordash,50.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Sales,0.95
TXN-00134,2025-03-01,Github,500.0,Software - Development,6360,Operating Expense - Technology,Yes,Finance,0.8999999999999999
TXN-00135,2024-10-12,Deloitte,50000.0,Professional Services,6700,Operating Expense - Services,Yes,Marketing,0.8999999999999999
TXN-00136,2024-05-19,Grubhub,180.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Operations,0.95
TXN-00137,2024-05-31,Fedex,45.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Finance,0.8999999999999999
TXN-00138,2024-10-09,Google Cloud,1850.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Marketing,0.95
TXN-00139,2024-08-02,Accenture,7000.0,Professional Services,6700,Operating Expense - Services,Yes,Sales,0.8999999999999999
TXN-00140,2025-02-25,Ikea,100.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Sales,0.95
TXN-00141,2024-11-06,Aws,2341.0,Software - Cloud,6310,Operating Expense - Technology,Yes,HR,0.8999999999999999
TXN-00142,2024-07-21,Linkedin Ads,2500.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Sales,0.8999999999999999
TXN-00143,2024-06-19,Zoom,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,HR,0.8999999999999999
TXN-00144,2024-04-12,Fedex,300.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Finance,0.8999999999999999
TXN-00145,2024-04-03,Accenture Inc,3000.0,Professional Services,6700,Operating Expense - Services,Yes,Finance,0.8799999999999999
TXN-00146,2024-09-26,Restaurants.Com,80.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Sales,0.95
TXN-00147,2024-06-08,Facebook Ads,4000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Operations,0.8999999999999999
TXN-00148,2024-02-22,Steelcase,2500.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Marketing,0.95
TXN-00149,2024-08-27,Slack,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Engineering,0.95
TXN-00150,2024-12-30,Southwest Airlines,1000.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Marketing,0.95
TXN-00151,2024-06-12,Hilton Hotels Inc,220.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Sales,0.95
TXN-00152,2024-01-21,Lenovo,400.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Engineering,0.8999999999999999
TXN-00153,2024-03-23,Hubspot,1200.0,Marketing - Software,6810,Operating Expense - Marketing,Yes,HR,0.8999999999999999
TXN-00154,2024-08-30,Airbnb,600.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Finance,0.8999999999999999
TXN-00155,2024-07-11,Linkedin Ads,1000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Engineering,0.8999999999999999
TXN-00156,2024-08-30,Dhl,30.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Operations,0.8999999999999999
TXN-00157,2024-07-25,Linkedin Ads,5000.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,Marketing,0.8999999999999999
TXN-00158,2024-08-13,Airbnb,150.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Finance,0.95
TXN-00159,2024-10-14,Best Buy,100.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),HR,0.8999999999999999
TXN-00160,2024-02-16,Zoom,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Engineering,0.8999999999999999
TXN-00161,2025-03-24,Lawdepot Inc,1000.0,Legal Services,6710,Operating Expense - Services,Yes,Operations,0.8999999999999999
TXN-00162,2024-12-06,Quickbooks,600.0,Accounting Software,6720,Operating Expense - Services,Yes,Engineering,0.8999999999999999
TXN-00163,2025-03-06,Salesforce,1200.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,HR,0.8799999999999999
TXN-00164,2024-06-07,Chipotle,20.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.8999999999999999
TXN-00165,2024-01-24,Uber,65.0,Travel - Ground,6410,Operating Expense - Travel,Yes,Sales,0.8999999999999999
TXN-00166,2024-11-06,Dhl,60.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Engineering,0.8999999999999999
TXN-00167,2024-07-29,Dhl,60.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Sales,0.8799999999999999
TXN-00168,2025-03-17,Herman Miller,1200.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Operations,0.8799999999999999
TXN-00169,2024-07-07,Amazon Business,100.0,Office Supplies,6100,Operating Expense - Office,Yes,Marketing,0.95
TXN-00170,2024-02-11,Amazon Business,500.0,Office Supplies,6100,Operating Expense - Office,Yes,Sales,0.95
TXN-00171,2024-09-14,Slack,125.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Finance,0.95
TXN-00172,2024-10-03,American Airlines,550.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Sales,0.8999999999999999
TXN-00173,2024-05-17,Hilton Hotels,220.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00174,2024-07-23,Github,500.0,Software - Development,6360,Operating Expense - Technology,Yes,Sales,0.8799999999999999
TXN-00175,2024-02-11,Starbucks,10.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),HR,0.8999999999999999
TXN-00176,2024-11-28,Steelcase,1000.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),HR,0.95
TXN-00177,2024-04-13,Fedex,45.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,Operations,0.95
TXN-00178,2024-09-05,Microsoft Azure,1500.0,Software - Cloud,6310,Operating Expense - Technology,Yes,HR,0.93
TXN-00179,2024-05-10,Xero,99.0,Accounting Software,6720,Operating Expense - Services,Yes,Marketing,0.95
TXN-00180,2024-05-28,Stripe,1250.0,Software - Payments,6350,Operating Expense - Technology,Yes,Operations,0.8999999999999999
TXN-00181,2024-12-03,Microsoft Azure,3000.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Sales,0.95
TXN-00182,2024-08-28,Slack,199.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Engineering,0.8999999999999999
TXN-00183,2024-09-18,Github,500.0,Software - Development,6360,Operating Expense - Technology,Yes,Marketing,0.8999999999999999
TXN-00184,2024-06-03,Twilio,50.0,Software - Communications,6340,Operating Expense - Technology,Yes,Finance,0.8999999999999999
TXN-00185,2024-06-26,Ubereats,100.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Operations,0.95
TXN-00186,2024-07-24,Hubspot,1200.0,Marketing - Software,6810,Operating Expense - Marketing,Yes,Marketing,0.8999999999999999
TXN-00187,2024-07-18,Datadog,800.0,Software - Monitoring,6330,Operating Expense - Technology,Yes,Engineering,0.8799999999999999
TXN-00188,2024-09-07,Delta Airlines,1400.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00189,2024-11-30,Ubereats,100.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Engineering,0.8999999999999999
TXN-00190,2024-05-29,Office Depot,75.0,Office Supplies,6100,Operating Expense - Office,Yes,HR,0.95
TXN-00191,2024-12-23,Chipotle,25.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Engineering,0.93
TXN-00192,2024-12-14,Accenture,3000.0,Professional Services,6700,Operating Expense - Services,Yes,Operations,0.8999999999999999
TXN-00193,2024-02-26,Slack,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Marketing,0.8999999999999999
TXN-00194,2024-07-08,American Airlines,300.0,Travel - Airfare,6400,Operating Expense - Travel,Yes,HR,0.8799999999999999
TXN-00195,2024-10-08,Airbnb,80.0,Travel - Lodging,6420,Operating Expense - Travel,Yes,Finance,0.8999999999999999
TXN-00196,2024-01-25,Apple,1200.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Marketing,0.8999999999999999
TXN-00197,2024-06-13,Office Depot,200.0,Office Supplies,6100,Operating Expense - Office,Yes,Sales,0.8799999999999999
TXN-00198,2024-11-01,Lyft,60.0,Travel - Ground,6410,Operating Expense - Travel,Yes,Engineering,0.8999999999999999
TXN-00199,2024-04-22,Dhl,150.0,Shipping & Logistics,6900,Operating Expense - Shipping,Yes,HR,0.8999999999999999
TXN-00200,2024-02-06,Herman Miller,1200.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Engineering,0.8999999999999999
TXN-00201,2024-07-14,Github,500.0,Software - Development,6360,Operating Expense - Technology,Yes,Sales,0.8999999999999999
TXN-00202,2024-04-07,Herman Miller,1500.0,Furniture - Fixed Asset,1540,Fixed Asset - Furniture,Yes (Depreciated),Marketing,0.8999999999999999
TXN-00203,2024-11-27,Amazon,99.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Sales,0.8999999999999999
TXN-00204,2024-04-15,Ubereats,45.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Marketing,0.8999999999999999
TXN-00205,2024-05-11,Ubereats,20.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Finance,0.95
TXN-00206,2024-11-05,Verizon,350.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Operations,0.8999999999999999
TXN-00207,2024-03-22,At&T,300.0,Utilities - Telecom,6600,Operating Expense - Utilities,Yes,Finance,0.8999999999999999
TXN-00208,2024-08-12,Amazon Business,250.0,Office Supplies,6100,Operating Expense - Office,Yes,Operations,0.95
TXN-00209,2024-04-08,Staples,50.0,Office Supplies,6100,Operating Expense - Office,Yes,Engineering,0.95
TXN-00210,2024-12-01,Time Warner,100.0,Utilities - Internet,6610,Operating Expense - Utilities,Yes,Sales,0.8999999999999999
TXN-00211,2024-01-24,Slack,299.0,Software - SaaS,6320,Operating Expense - SaaS,Yes,Marketing,0.95
TXN-00212,2025-02-03,Google Ads,2500.0,Marketing - Digital,6800,Operating Expense - Marketing,Yes,HR,0.8999999999999999
TXN-00213,2024-04-13,Apple,1200.0,Hardware - Equipment,1520,Fixed Asset - Equipment,Yes (Depreciated),Finance,0.8999999999999999
TXN-00214,2025-01-03,Quickbooks,600.0,Accounting Software,6720,Operating Expense - Services,Yes,Marketing,0.8999999999999999
TXN-00215,2024-12-02,Google Cloud,4000.0,Software - Cloud,6310,Operating Expense - Technology,Yes,Marketing,0.95
TXN-00216,2025-01-21,Doordash,50.0,Meals & Entertainment,6500,Operating Expense - Meals,Partial (50%),Engineering,0.95
